origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-08,ARI incidence,2026-04-05,1,BG,median,,635.42487
2026-04-08,ARI incidence,2026-04-12,2,BG,median,,570.3762
2026-04-08,ARI incidence,2026-04-19,3,BG,median,,532.0162
2026-04-08,ARI incidence,2026-04-26,4,BG,median,,503.93024
2026-04-08,ARI incidence,2026-04-05,1,CY,median,,11513.748
2026-04-08,ARI incidence,2026-04-12,2,CY,median,,10693.967
2026-04-08,ARI incidence,2026-04-19,3,CY,median,,10433.515
2026-04-08,ARI incidence,2026-04-26,4,CY,median,,10015.754
2026-04-08,ARI incidence,2026-04-05,1,CZ,median,,879.4338
2026-04-08,ARI incidence,2026-04-12,2,CZ,median,,818.94104
2026-04-08,ARI incidence,2026-04-19,3,CZ,median,,756.9989
2026-04-08,ARI incidence,2026-04-26,4,CZ,median,,700.71497
2026-04-08,ARI incidence,2026-04-05,1,DE,median,,1142.5867
2026-04-08,ARI incidence,2026-04-12,2,DE,median,,1036.6804
2026-04-08,ARI incidence,2026-04-19,3,DE,median,,943.0189
2026-04-08,ARI incidence,2026-04-26,4,DE,median,,874.3717
2026-04-08,ARI incidence,2026-04-05,1,EE,median,,194.6574
2026-04-08,ARI incidence,2026-04-12,2,EE,median,,188.6762
2026-04-08,ARI incidence,2026-04-19,3,EE,median,,180.46577
2026-04-08,ARI incidence,2026-04-26,4,EE,median,,171.51556
2026-04-08,ARI incidence,2026-04-05,1,ES,median,,414.43826
2026-04-08,ARI incidence,2026-04-12,2,ES,median,,400.3073
2026-04-08,ARI incidence,2026-04-19,3,ES,median,,389.08313
2026-04-08,ARI incidence,2026-04-26,4,ES,median,,380.24744
2026-04-08,ARI incidence,2026-04-05,1,FI,median,,2770.2473
2026-04-08,ARI incidence,2026-04-12,2,FI,median,,2707.1313
2026-04-08,ARI incidence,2026-04-19,3,FI,median,,2611.6885
2026-04-08,ARI incidence,2026-04-26,4,FI,median,,2538.1948
2026-04-08,ARI incidence,2026-04-05,1,FR,median,,118.37587
2026-04-08,ARI incidence,2026-04-12,2,FR,median,,102.64808
2026-04-08,ARI incidence,2026-04-19,3,FR,median,,90.85192
2026-04-08,ARI incidence,2026-04-26,4,FR,median,,82.59419
2026-04-08,ARI incidence,2026-04-05,1,HU,median,,1872.7096
2026-04-08,ARI incidence,2026-04-12,2,HU,median,,1677.3612
2026-04-08,ARI incidence,2026-04-19,3,HU,median,,1463.7745
2026-04-08,ARI incidence,2026-04-26,4,HU,median,,1167.4736
2026-04-08,ARI incidence,2026-04-05,1,IE,median,,53.13522
2026-04-08,ARI incidence,2026-04-12,2,IE,median,,50.66576
2026-04-08,ARI incidence,2026-04-19,3,IE,median,,43.188126
2026-04-08,ARI incidence,2026-04-26,4,IE,median,,37.613228
2026-04-08,ARI incidence,2026-04-05,1,IS,median,,65.753334
2026-04-08,ARI incidence,2026-04-12,2,IS,median,,65.91597
2026-04-08,ARI incidence,2026-04-19,3,IS,median,,65.69638
2026-04-08,ARI incidence,2026-04-26,4,IS,median,,66.24697
2026-04-08,ARI incidence,2026-04-05,1,IT,median,,753.76385
2026-04-08,ARI incidence,2026-04-12,2,IT,median,,750.8877
2026-04-08,ARI incidence,2026-04-19,3,IT,median,,754.8214
2026-04-08,ARI incidence,2026-04-26,4,IT,median,,773.66504
2026-04-08,ARI incidence,2026-04-05,1,LT,median,,659.51764
2026-04-08,ARI incidence,2026-04-12,2,LT,median,,586.4873
2026-04-08,ARI incidence,2026-04-19,3,LT,median,,518.6009
2026-04-08,ARI incidence,2026-04-26,4,LT,median,,461.05826
2026-04-08,ARI incidence,2026-04-05,1,LU,median,,11530.193
2026-04-08,ARI incidence,2026-04-12,2,LU,median,,10906.107
2026-04-08,ARI incidence,2026-04-19,3,LU,median,,10116.234
2026-04-08,ARI incidence,2026-04-26,4,LU,median,,9341.592
2026-04-08,ARI incidence,2026-04-05,1,LV,median,,1224.5322
2026-04-08,ARI incidence,2026-04-12,2,LV,median,,1202.211
2026-04-08,ARI incidence,2026-04-19,3,LV,median,,1138.7698
2026-04-08,ARI incidence,2026-04-26,4,LV,median,,1073.7974
2026-04-08,ARI incidence,2026-04-05,1,NL,median,,214.16754
2026-04-08,ARI incidence,2026-04-12,2,NL,median,,210.83064
2026-04-08,ARI incidence,2026-04-19,3,NL,median,,207.91832
2026-04-08,ARI incidence,2026-04-26,4,NL,median,,206.90059
2026-04-08,ARI incidence,2026-04-05,1,PT,median,,17.841501
2026-04-08,ARI incidence,2026-04-12,2,PT,median,,16.907024
2026-04-08,ARI incidence,2026-04-19,3,PT,median,,16.254421
2026-04-08,ARI incidence,2026-04-26,4,PT,median,,15.929236
2026-04-08,ARI incidence,2026-04-05,1,RO,median,,733.60284
2026-04-08,ARI incidence,2026-04-12,2,RO,median,,680.2747
2026-04-08,ARI incidence,2026-04-19,3,RO,median,,596.27747
2026-04-08,ARI incidence,2026-04-26,4,RO,median,,551.3572
2026-04-08,ARI incidence,2026-04-05,1,SI,median,,1116.4576
2026-04-08,ARI incidence,2026-04-12,2,SI,median,,1027.9579
2026-04-08,ARI incidence,2026-04-19,3,SI,median,,909.14984
2026-04-08,ARI incidence,2026-04-26,4,SI,median,,820.25397
2026-04-08,ARI incidence,2026-04-05,1,SK,median,,1369.6592
2026-04-08,ARI incidence,2026-04-12,2,SK,median,,1284.2758
2026-04-08,ARI incidence,2026-04-19,3,SK,median,,1213.076
2026-04-08,ARI incidence,2026-04-26,4,SK,median,,1151.0586
2026-04-08,ARI incidence,2026-04-05,1,GB-ENG,median,,253.29947
2026-04-08,ARI incidence,2026-04-12,2,GB-ENG,median,,250.09804
2026-04-08,ARI incidence,2026-04-19,3,GB-ENG,median,,246.1048
2026-04-08,ARI incidence,2026-04-26,4,GB-ENG,median,,245.12384
2026-04-08,ARI incidence,2026-04-05,1,GB-NIR,median,,184.89961
2026-04-08,ARI incidence,2026-04-12,2,GB-NIR,median,,177.60698
2026-04-08,ARI incidence,2026-04-19,3,GB-NIR,median,,170.67133
2026-04-08,ARI incidence,2026-04-26,4,GB-NIR,median,,165.0115
2026-04-08,ARI incidence,2026-04-05,1,GB-SCT,median,,155.09839
2026-04-08,ARI incidence,2026-04-12,2,GB-SCT,median,,149.24973
2026-04-08,ARI incidence,2026-04-19,3,GB-SCT,median,,142.8552
2026-04-08,ARI incidence,2026-04-26,4,GB-SCT,median,,135.57904
2026-04-08,ARI incidence,2026-04-05,1,GB-WLS,median,,118.23207
2026-04-08,ARI incidence,2026-04-12,2,GB-WLS,median,,109.114006
2026-04-08,ARI incidence,2026-04-19,3,GB-WLS,median,,103.00179
2026-04-08,ARI incidence,2026-04-26,4,GB-WLS,median,,101.18411
2026-04-08,ARI incidence,2026-04-05,1,BG,quantile,0.01,453.04953
2026-04-08,ARI incidence,2026-04-12,2,BG,quantile,0.01,369.67014
2026-04-08,ARI incidence,2026-04-19,3,BG,quantile,0.01,322.7167
2026-04-08,ARI incidence,2026-04-26,4,BG,quantile,0.01,308.8851
2026-04-08,ARI incidence,2026-04-05,1,CY,quantile,0.01,3584.961
2026-04-08,ARI incidence,2026-04-12,2,CY,quantile,0.01,2605.3223
2026-04-08,ARI incidence,2026-04-19,3,CY,quantile,0.01,2244.706
2026-04-08,ARI incidence,2026-04-26,4,CY,quantile,0.01,1860.6084
2026-04-08,ARI incidence,2026-04-05,1,CZ,quantile,0.01,546.2737
2026-04-08,ARI incidence,2026-04-12,2,CZ,quantile,0.01,476.96692
2026-04-08,ARI incidence,2026-04-19,3,CZ,quantile,0.01,415.26263
2026-04-08,ARI incidence,2026-04-26,4,CZ,quantile,0.01,367.83612
2026-04-08,ARI incidence,2026-04-05,1,DE,quantile,0.01,645.0907
2026-04-08,ARI incidence,2026-04-12,2,DE,quantile,0.01,531.76526
2026-04-08,ARI incidence,2026-04-19,3,DE,quantile,0.01,436.7707
2026-04-08,ARI incidence,2026-04-26,4,DE,quantile,0.01,360.5681
2026-04-08,ARI incidence,2026-04-05,1,EE,quantile,0.01,104.34065
2026-04-08,ARI incidence,2026-04-12,2,EE,quantile,0.01,84.03409
2026-04-08,ARI incidence,2026-04-19,3,EE,quantile,0.01,71.42705
2026-04-08,ARI incidence,2026-04-26,4,EE,quantile,0.01,60.802917
2026-04-08,ARI incidence,2026-04-05,1,ES,quantile,0.01,290.74854
2026-04-08,ARI incidence,2026-04-12,2,ES,quantile,0.01,275.0551
2026-04-08,ARI incidence,2026-04-19,3,ES,quantile,0.01,261.1767
2026-04-08,ARI incidence,2026-04-26,4,ES,quantile,0.01,253.49393
2026-04-08,ARI incidence,2026-04-05,1,FI,quantile,0.01,1943.7979
2026-04-08,ARI incidence,2026-04-12,2,FI,quantile,0.01,1737.5027
2026-04-08,ARI incidence,2026-04-19,3,FI,quantile,0.01,1589.3169
2026-04-08,ARI incidence,2026-04-26,4,FI,quantile,0.01,1411.6998
2026-04-08,ARI incidence,2026-04-05,1,FR,quantile,0.01,56.20645
2026-04-08,ARI incidence,2026-04-12,2,FR,quantile,0.01,44.265335
2026-04-08,ARI incidence,2026-04-19,3,FR,quantile,0.01,32.796463
2026-04-08,ARI incidence,2026-04-26,4,FR,quantile,0.01,27.068863
2026-04-08,ARI incidence,2026-04-05,1,HU,quantile,0.01,968.385
2026-04-08,ARI incidence,2026-04-12,2,HU,quantile,0.01,767.72485
2026-04-08,ARI incidence,2026-04-19,3,HU,quantile,0.01,472.44763
2026-04-08,ARI incidence,2026-04-26,4,HU,quantile,0.01,180.7533
2026-04-08,ARI incidence,2026-04-05,1,IE,quantile,0.01,24.12954
2026-04-08,ARI incidence,2026-04-12,2,IE,quantile,0.01,18.960064
2026-04-08,ARI incidence,2026-04-19,3,IE,quantile,0.01,10.419575
2026-04-08,ARI incidence,2026-04-26,4,IE,quantile,0.01,2.1882324
2026-04-08,ARI incidence,2026-04-05,1,IS,quantile,0.01,34.064816
2026-04-08,ARI incidence,2026-04-12,2,IS,quantile,0.01,27.993172
2026-04-08,ARI incidence,2026-04-19,3,IS,quantile,0.01,24.775166
2026-04-08,ARI incidence,2026-04-26,4,IS,quantile,0.01,23.379929
2026-04-08,ARI incidence,2026-04-05,1,IT,quantile,0.01,413.12238
2026-04-08,ARI incidence,2026-04-12,2,IT,quantile,0.01,399.30078
2026-04-08,ARI incidence,2026-04-19,3,IT,quantile,0.01,391.86713
2026-04-08,ARI incidence,2026-04-26,4,IT,quantile,0.01,395.80786
2026-04-08,ARI incidence,2026-04-05,1,LT,quantile,0.01,319.6051
2026-04-08,ARI incidence,2026-04-12,2,LT,quantile,0.01,250.66284
2026-04-08,ARI incidence,2026-04-19,3,LT,quantile,0.01,187.98907
2026-04-08,ARI incidence,2026-04-26,4,LT,quantile,0.01,121.506775
2026-04-08,ARI incidence,2026-04-05,1,LU,quantile,0.01,3285.581
2026-04-08,ARI incidence,2026-04-12,2,LU,quantile,0.01,3495.622
2026-04-08,ARI incidence,2026-04-19,3,LU,quantile,0.01,2931.415
2026-04-08,ARI incidence,2026-04-26,4,LU,quantile,0.01,1872.4336
2026-04-08,ARI incidence,2026-04-05,1,LV,quantile,0.01,528.2812
2026-04-08,ARI incidence,2026-04-12,2,LV,quantile,0.01,471.24158
2026-04-08,ARI incidence,2026-04-19,3,LV,quantile,0.01,354.11243
2026-04-08,ARI incidence,2026-04-26,4,LV,quantile,0.01,274.78613
2026-04-08,ARI incidence,2026-04-05,1,NL,quantile,0.01,131.58685
2026-04-08,ARI incidence,2026-04-12,2,NL,quantile,0.01,108.30107
2026-04-08,ARI incidence,2026-04-19,3,NL,quantile,0.01,89.57705
2026-04-08,ARI incidence,2026-04-26,4,NL,quantile,0.01,82.056854
2026-04-08,ARI incidence,2026-04-05,1,PT,quantile,0.01,0.0
2026-04-08,ARI incidence,2026-04-12,2,PT,quantile,0.01,0.0
2026-04-08,ARI incidence,2026-04-19,3,PT,quantile,0.01,0.0
2026-04-08,ARI incidence,2026-04-26,4,PT,quantile,0.01,0.0
2026-04-08,ARI incidence,2026-04-05,1,RO,quantile,0.01,449.87155
2026-04-08,ARI incidence,2026-04-12,2,RO,quantile,0.01,376.4536
2026-04-08,ARI incidence,2026-04-19,3,RO,quantile,0.01,293.21234
2026-04-08,ARI incidence,2026-04-26,4,RO,quantile,0.01,243.18692
2026-04-08,ARI incidence,2026-04-05,1,SI,quantile,0.01,538.7173
2026-04-08,ARI incidence,2026-04-12,2,SI,quantile,0.01,447.9784
2026-04-08,ARI incidence,2026-04-19,3,SI,quantile,0.01,315.9248
2026-04-08,ARI incidence,2026-04-26,4,SI,quantile,0.01,198.6836
2026-04-08,ARI incidence,2026-04-05,1,SK,quantile,0.01,1029.0758
2026-04-08,ARI incidence,2026-04-12,2,SK,quantile,0.01,912.10284
2026-04-08,ARI incidence,2026-04-19,3,SK,quantile,0.01,805.1062
2026-04-08,ARI incidence,2026-04-26,4,SK,quantile,0.01,740.82715
2026-04-08,ARI incidence,2026-04-05,1,GB-ENG,quantile,0.01,170.94498
2026-04-08,ARI incidence,2026-04-12,2,GB-ENG,quantile,0.01,151.30951
2026-04-08,ARI incidence,2026-04-19,3,GB-ENG,quantile,0.01,145.78957
2026-04-08,ARI incidence,2026-04-26,4,GB-ENG,quantile,0.01,141.18611
2026-04-08,ARI incidence,2026-04-05,1,GB-NIR,quantile,0.01,127.87342
2026-04-08,ARI incidence,2026-04-12,2,GB-NIR,quantile,0.01,109.82867
2026-04-08,ARI incidence,2026-04-19,3,GB-NIR,quantile,0.01,94.18889
2026-04-08,ARI incidence,2026-04-26,4,GB-NIR,quantile,0.01,83.76159
2026-04-08,ARI incidence,2026-04-05,1,GB-SCT,quantile,0.01,102.86583
2026-04-08,ARI incidence,2026-04-12,2,GB-SCT,quantile,0.01,92.16821
2026-04-08,ARI incidence,2026-04-19,3,GB-SCT,quantile,0.01,79.49238
2026-04-08,ARI incidence,2026-04-26,4,GB-SCT,quantile,0.01,66.001366
2026-04-08,ARI incidence,2026-04-05,1,GB-WLS,quantile,0.01,0.0
2026-04-08,ARI incidence,2026-04-12,2,GB-WLS,quantile,0.01,0.0
2026-04-08,ARI incidence,2026-04-19,3,GB-WLS,quantile,0.01,0.0
2026-04-08,ARI incidence,2026-04-26,4,GB-WLS,quantile,0.01,0.0
2026-04-08,ARI incidence,2026-04-05,1,BG,quantile,0.025,478.76373
2026-04-08,ARI incidence,2026-04-12,2,BG,quantile,0.025,395.69186
2026-04-08,ARI incidence,2026-04-19,3,BG,quantile,0.025,349.89038
2026-04-08,ARI incidence,2026-04-26,4,BG,quantile,0.025,335.3987
2026-04-08,ARI incidence,2026-04-05,1,CY,quantile,0.025,4790.1797
2026-04-08,ARI incidence,2026-04-12,2,CY,quantile,0.025,3862.3762
2026-04-08,ARI incidence,2026-04-19,3,CY,quantile,0.025,3488.6353
2026-04-08,ARI incidence,2026-04-26,4,CY,quantile,0.025,3130.2974
2026-04-08,ARI incidence,2026-04-05,1,CZ,quantile,0.025,592.0306
2026-04-08,ARI incidence,2026-04-12,2,CZ,quantile,0.025,522.80505
2026-04-08,ARI incidence,2026-04-19,3,CZ,quantile,0.025,461.2365
2026-04-08,ARI incidence,2026-04-26,4,CZ,quantile,0.025,412.74084
2026-04-08,ARI incidence,2026-04-05,1,DE,quantile,0.025,705.61884
2026-04-08,ARI incidence,2026-04-12,2,DE,quantile,0.025,590.1526
2026-04-08,ARI incidence,2026-04-19,3,DE,quantile,0.025,496.30188
2026-04-08,ARI incidence,2026-04-26,4,DE,quantile,0.025,424.02957
2026-04-08,ARI incidence,2026-04-05,1,EE,quantile,0.025,117.92396
2026-04-08,ARI incidence,2026-04-12,2,EE,quantile,0.025,98.65781
2026-04-08,ARI incidence,2026-04-19,3,EE,quantile,0.025,86.888435
2026-04-08,ARI incidence,2026-04-26,4,EE,quantile,0.025,76.41658
2026-04-08,ARI incidence,2026-04-05,1,ES,quantile,0.025,308.55405
