origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.01,1584.904519147858
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.025,1602.6002944806626
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.05,1625.45381055963
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.1,1660.1411675754655
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.15,1686.6106107336427
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.2,1709.1912199738956
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.25,1727.4259285935354
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.3,1744.9844476554292
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.35,1759.5250525512613
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.4,1773.520417034772
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.45,1788.7127389619227
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.5,1802.55465318054
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.55,1816.0867281728115
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.6,1829.168643448388
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.65,1841.231352478048
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.7,1853.4422607353536
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.75,1865.59881504342
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.8,1877.9528679869056
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.85,1889.8901184084973
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.9,1900.633234635188
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.95,1912.70109684736
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.975,1917.8977669474075
2026-04-22,ILI incidence,-1,2026-04-05,AT,quantile,0.99,1920.9630240614244
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.01,1548.0461838923632
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.025,1567.5451839998698
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.05,1594.3442918337485
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.1,1630.141048295205
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.15,1657.3340517481504
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.2,1680.2798600868723
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.25,1700.9825929966464
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.3,1718.5022934007516
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.35,1735.2608910600234
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.4,1750.2034302078364
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.45,1764.2823533429323
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.5,1778.8081120684012
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.55,1792.3129292832637
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.6,1806.4638336387409
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.65,1818.1287714587047
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.7,1831.10360495185
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.75,1843.8961921425707
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.8,1856.2634329016344
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.85,1867.7145026030528
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.9,1881.9532106831043
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.95,1896.8725283161505
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.975,1905.8392488053064
2026-04-22,ILI incidence,0,2026-04-12,AT,quantile,0.99,1912.8947274061625
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.01,1514.2402318909594
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.025,1538.3649851783348
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.05,1564.5992139236084
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.1,1603.0204381457163
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.15,1631.9055069053566
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.2,1656.3677157134682
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.25,1678.7722655384994
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.3,1697.5376429969235
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.35,1713.768376917851
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.4,1730.3315299890942
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.45,1745.6252063539823
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.5,1759.6769339987072
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.55,1774.314675753347
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.6,1787.9468412871615
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.65,1801.2243167638446
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.7,1814.6777586416104
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.75,1827.61969810469
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.8,1841.222530431976
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.85,1856.024407122805
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.9,1872.857700332656
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.95,1890.1883741497152
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.975,1901.4956376059845
2026-04-22,ILI incidence,1,2026-04-19,AT,quantile,0.99,1909.8439859443656
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.01,1480.4319390291537
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.025,1510.1340926278372
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.05,1542.667682178531
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.1,1580.440400366347
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.15,1611.076688772706
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.2,1637.6626137446042
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.25,1660.2229170266128
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.3,1679.1890725001035
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.35,1697.0365931339556
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.4,1714.180758130443
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.45,1730.7220208050094
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.5,1745.9428294444149
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.55,1760.2272236892418
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.6,1775.2006519437011
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.65,1788.1627915910888
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.7,1803.7355621913
2026-04-22,ILI incidence,2,2026-04-26,AT,quantile,0.75,1818.3391447634613
