origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.01,21.60
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.01,12.96
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.01,7.20
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.01,3.68
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.025,22.04
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.025,13.42
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.025,7.52
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.025,3.84
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.05,22.56
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.05,13.92
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.05,7.90
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.05,4.00
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.1,23.30
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.1,14.60
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.1,8.32
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.1,4.40
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.15,23.80
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.15,15.20
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.15,8.88
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.15,4.72
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.2,24.24
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.2,15.60
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.2,9.28
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.2,5.12
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.25,24.64
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.25,16.00
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.25,9.60
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.25,5.36
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.3,25.00
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.3,16.40
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.3,9.90
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.3,5.60
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.35,25.40
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.35,16.68
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.35,10.16
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.35,5.76
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.4,25.68
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.4,17.00
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.4,10.40
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.4,5.90
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.45,26.00
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.45,17.28
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.45,10.64
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.45,6.08
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.5,26.30
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.5,17.60
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.5,10.88
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.5,6.24
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.55,26.64
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.55,17.87
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.55,11.20
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.55,6.48
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.6,26.90
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.6,18.18
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.6,11.40
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.6,6.64
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.65,27.30
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.65,18.40
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.65,11.60
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.65,6.80
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.7,27.60
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.7,18.70
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.7,11.90
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.7,7.10
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.75,28.00
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.75,19.11
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.75,12.17
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.75,7.30
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.8,28.34
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.8,19.44
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.8,12.50
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.8,7.52
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.85,28.88
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.85,19.80
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.85,12.80
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.85,7.80
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.9,29.52
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.9,20.48
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.9,13.30
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.9,8.16
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.95,30.48
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.95,21.44
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.95,14.24
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.95,8.80
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.975,31.20
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.975,22.35
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.975,15.11
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.975,9.52
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.99,31.92
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.99,23.12
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.99,15.80
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.99,10.24
2026-04-22,ILI incidence,2026-04-19,1,CZ,quantile,0.01,4.10
2026-04-22,ILI incidence,2026-04-26,2,CZ,quantile,0.01,2.30
2026-04-22,ILI incidence,2026-05-03,3,CZ,quantile,0.01,1.10
2026-04-22,ILI incidence,2026-05-10,4,CZ,quantile,0.01,0.50
2026-04-22,ILI incidence,2026-04-19,1,CZ,quantile,0.025,4.40
2026-04-22,ILI incidence,2026-04-26,2,CZ,quantile,0.025,2.40
