origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.01,0
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.025,0.614049122731581
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.05,2.5265107465226144
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.1,4.557366396842754
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.15,6.102959234275903
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.2,7.372457503011116
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.25,8.353442371230088
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.3,9.30610398757551
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.35,10.145989638580426
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.4,10.915983649128359
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.45,11.663955451230073
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.5,12.4568025154664
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.55,13.238817493395937
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.6,13.990939905643597
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.65,14.746910109354053
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.7,15.599353137732672
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.75,16.535932040941077
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.8,17.469232811017594
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.85,18.648598711998268
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.9,20.205710522678466
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.95,22.500204614141182
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.975,24.031028209975624
2026-04-15,ILI incidence,2026-04-12,1,CZ,quantile,0.99,26.085167935304053
2026-04-15,ILI incidence,2026-04-12,1,CZ,median,,12.4568025154664
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.01,0
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.025,0
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.05,0
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.1,0
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.15,3.116848504488795
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.2,5.516041913226925
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.25,7.608938859985203
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.3,9.424944808660907
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.35,11.075103749482922
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.4,12.664104738534324
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.45,14.218636122029718
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.5,15.86805926984933
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.55,17.390021658007772
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.6,18.98347449973798
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.65,20.49140887799154
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.7,22.187218371757663
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.75,24.052846356963002
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.8,26.071908719025394
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.85,28.40959475061085
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.9,31.408360447477243
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.95,36.07649254541892
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.975,39.20290233806049
2026-04-15,ILI incidence,2026-04-19,2,CZ,quantile,0.99,43.78708432377953
2026-04-15,ILI incidence,2026-04-19,2,CZ,median,,15.86805926984933
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.01,0
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.025,0
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.05,0
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.1,0
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.15,3.586200370300679
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.2,7.107613452313129
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.25,10.112167395680956
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.3,12.818089767224489
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.35,15.365916962297629
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.4,17.72463759499653
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.45,20.19048205002988
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.5,22.591580009362747
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.55,24.85918235663337
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.6,27.205338905212106
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.65,29.5194914045495
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.7,32.04759069843894
2026-04-15,ILI incidence,2026-04-26,3,CZ,quantile,0.75,34.85961569287592
