origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.01,422.4589925936381
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.025,477.34332584447617
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.05,526.2424881234352
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.1,584.4929704333094
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.15,624.8921340729956
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.2,657.6147018834796
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.25,686.1134217573275
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.3,712.0360559477795
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.35,736.3322103469216
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.4,759.6285319423553
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.45,782.3894777787067
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.5,805
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.55,827.8171699309921
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.6,851.2114916182946
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.65,875.6111808116704
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.7,901.5641486706344
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.75,929.844196209345
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.8,961.6648310153885
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.85,999.1885291146401
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.9,1047.054644205257
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.95,1119.3134895419944
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.975,1183.2329079778535
2026-04-15,ARI incidence,2026-04-12,1,BG,quantile,0.99,1258.9765746195842
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.01,691.3857356237477
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.025,723.697253304343
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.05,752.6922017769743
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.1,787.5662041421621
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.15,812.0038611091372
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.2,831.965816566204
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.25,849.4820423214206
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.3,865.5262277274818
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.35,880.6639333764317
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.4,895.272868748238
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.45,909.6378005216624
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.5,923.9999999999999
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.55,938.5889631129811
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.6,953.6489150997519
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.65,969.4685652978377
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.7,986.4241806301661
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.75,1005.0547951159095
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.8,1026.2152398566247
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.85,1051.4432761856635
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.9,1084.0688636836
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.95,1134.2963272163356
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.975,1179.7419378085626
2026-04-15,ARI incidence,2026-04-12,1,CZ,quantile,0.99,1234.8765038227878
