target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-04-08,2026-04-05,0.01,1,quantile,332.432061256368
ILI incidence,AT,2026-04-08,2026-04-05,0.025,1,quantile,416.292685927514
ILI incidence,AT,2026-04-08,2026-04-05,0.05,1,quantile,546.87562203126
ILI incidence,AT,2026-04-08,2026-04-05,0.1,1,quantile,696.66035641176
ILI incidence,AT,2026-04-08,2026-04-05,0.15,1,quantile,789.926024245668
ILI incidence,AT,2026-04-08,2026-04-05,0.2,1,quantile,870.950596177411
ILI incidence,AT,2026-04-08,2026-04-05,0.25,1,quantile,959.063550665326
ILI incidence,AT,2026-04-08,2026-04-05,0.3,1,quantile,1022.63739299256
ILI incidence,AT,2026-04-08,2026-04-05,0.35,1,quantile,1095.1067339739
ILI incidence,AT,2026-04-08,2026-04-05,0.4,1,quantile,1174.6215596601
ILI incidence,AT,2026-04-08,2026-04-05,0.45,1,quantile,1244.5733833134
ILI incidence,AT,2026-04-08,2026-04-05,0.5,1,quantile,1312.89266944812
ILI incidence,AT,2026-04-08,2026-04-05,0.55,1,quantile,1404.12028343941
ILI incidence,AT,2026-04-08,2026-04-05,0.6,1,quantile,1491.11636026059
ILI incidence,AT,2026-04-08,2026-04-05,0.65,1,quantile,1603.84355447811
ILI incidence,AT,2026-04-08,2026-04-05,0.7,1,quantile,1688.57077385238
ILI incidence,AT,2026-04-08,2026-04-05,0.75,1,quantile,1806.47345521427
ILI incidence,AT,2026-04-08,2026-04-05,0.8,1,quantile,1952.65436708228
ILI incidence,AT,2026-04-08,2026-04-05,0.85,1,quantile,2097.60512410323
ILI incidence,AT,2026-04-08,2026-04-05,0.9,1,quantile,2320.53577402874
ILI incidence,AT,2026-04-08,2026-04-05,0.95,1,quantile,2597.8414340072
ILI incidence,AT,2026-04-08,2026-04-05,0.975,1,quantile,2916.84300215137
ILI incidence,AT,2026-04-08,2026-04-05,0.99,1,quantile,3383.91207321564
ILI incidence,AT,2026-04-08,2026-04-12,0.01,2,quantile,260.475890272565
ILI incidence,AT,2026-04-08,2026-04-12,0.025,2,quantile,311.300859215085
ILI incidence,AT,2026-04-08,2026-04-12,0.05,2,quantile,404.339397057499
ILI incidence,AT,2026-04-08,2026-04-12,0.1,2,quantile,511.860076274638
ILI incidence,AT,2026-04-08,2026-04-12,0.15,2,quantile,609.431648379002
ILI incidence,AT,2026-04-08,2026-04-12,0.2,2,quantile,708.25353788211
ILI incidence,AT,2026-04-08,2026-04-12,0.25,2,quantile,771.894030877473
ILI incidence,AT,2026-04-08,2026-04-12,0.3,2,quantile,846.937672862948
ILI incidence,AT,2026-04-08,2026-04-12,0.35,2,quantile,927.439172054011
ILI incidence,AT,2026-04-08,2026-04-12,0.4,2,quantile,1028.72586952399
ILI incidence,AT,2026-04-08,2026-04-12,0.45,2,quantile,1099.88406340204
ILI incidence,AT,2026-04-08,2026-04-12,0.5,2,quantile,1185.90059956666
ILI incidence,AT,2026-04-08,2026-04-12,0.55,2,quantile,1275.70743125841
ILI incidence,AT,2026-04-08,2026-04-12,0.6,2,quantile,1416.11006324998
ILI incidence,AT,2026-04-08,2026-04-12,0.65,2,quantile,1531.79483344582
ILI incidence,AT,2026-04-08,2026-04-12,0.7,2,quantile,1630.27897538089
ILI incidence,AT,2026-04-08,2026-04-12,0.75,2,quantile,1763.24294656297
ILI incidence,AT,2026-04-08,2026-04-12,0.8,2,quantile,1921.92152144845
ILI incidence,AT,2026-04-08,2026-04-12,0.85,2,quantile,2124.81154476653
ILI incidence,AT,2026-04-08,2026-04-12,0.9,2,quantile,2353.30369886648
ILI incidence,AT,2026-04-08,2026-04-12,0.95,2,quantile,2834.88029990046
ILI incidence,AT,2026-04-08,2026-04-12,0.975,2,quantile,3273.37204724077
