target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-04-08,2026-04-05,0.01,1,quantile,514.327100506828
ILI incidence,AT,2026-04-08,2026-04-05,0.025,1,quantile,566.599855717258
ILI incidence,AT,2026-04-08,2026-04-05,0.05,1,quantile,666.441747356839
ILI incidence,AT,2026-04-08,2026-04-05,0.1,1,quantile,773.331044827007
ILI incidence,AT,2026-04-08,2026-04-05,0.15,1,quantile,852.702760332122
ILI incidence,AT,2026-04-08,2026-04-05,0.2,1,quantile,920.859784636497
ILI incidence,AT,2026-04-08,2026-04-05,0.25,1,quantile,985.617863086563
ILI incidence,AT,2026-04-08,2026-04-05,0.3,1,quantile,1032.50431724627
ILI incidence,AT,2026-04-08,2026-04-05,0.35,1,quantile,1079.1288866949
ILI incidence,AT,2026-04-08,2026-04-05,0.4,1,quantile,1130.42630435406
ILI incidence,AT,2026-04-08,2026-04-05,0.45,1,quantile,1179.57351036304
ILI incidence,AT,2026-04-08,2026-04-05,0.5,1,quantile,1244.38983988484
ILI incidence,AT,2026-04-08,2026-04-05,0.55,1,quantile,1284.08197789901
ILI incidence,AT,2026-04-08,2026-04-05,0.6,1,quantile,1340.09604214085
ILI incidence,AT,2026-04-08,2026-04-05,0.65,1,quantile,1379.06045997826
ILI incidence,AT,2026-04-08,2026-04-05,0.7,1,quantile,1438.6817930435
ILI incidence,AT,2026-04-08,2026-04-05,0.75,1,quantile,1492.02580070066
ILI incidence,AT,2026-04-08,2026-04-05,0.8,1,quantile,1558.81314637656
ILI incidence,AT,2026-04-08,2026-04-05,0.85,1,quantile,1645.46505616682
ILI incidence,AT,2026-04-08,2026-04-05,0.9,1,quantile,1777.04511103179
ILI incidence,AT,2026-04-08,2026-04-05,0.95,1,quantile,1942.19303639498
ILI incidence,AT,2026-04-08,2026-04-05,0.975,1,quantile,2071.58944297296
ILI incidence,AT,2026-04-08,2026-04-05,0.99,1,quantile,2240.17581253586
ILI incidence,AT,2026-04-08,2026-04-12,0.01,2,quantile,403.127356606243
ILI incidence,AT,2026-04-08,2026-04-12,0.025,2,quantile,480.009680678247
ILI incidence,AT,2026-04-08,2026-04-12,0.05,2,quantile,541.495285452523
ILI incidence,AT,2026-04-08,2026-04-12,0.1,2,quantile,652.107574629116
ILI incidence,AT,2026-04-08,2026-04-12,0.15,2,quantile,718.068865662897
ILI incidence,AT,2026-04-08,2026-04-12,0.2,2,quantile,792.982101246066
ILI incidence,AT,2026-04-08,2026-04-12,0.25,2,quantile,853.364611822742
ILI incidence,AT,2026-04-08,2026-04-12,0.3,2,quantile,914.157381008868
ILI incidence,AT,2026-04-08,2026-04-12,0.35,2,quantile,969.517788644622
ILI incidence,AT,2026-04-08,2026-04-12,0.4,2,quantile,1016.48252315713
ILI incidence,AT,2026-04-08,2026-04-12,0.45,2,quantile,1065.51786527699
ILI incidence,AT,2026-04-08,2026-04-12,0.5,2,quantile,1107.39991443168
ILI incidence,AT,2026-04-08,2026-04-12,0.55,2,quantile,1164.81997742434
ILI incidence,AT,2026-04-08,2026-04-12,0.6,2,quantile,1231.96897683689
ILI incidence,AT,2026-04-08,2026-04-12,0.65,2,quantile,1286.96946628458
ILI incidence,AT,2026-04-08,2026-04-12,0.7,2,quantile,1363.92657392719
ILI incidence,AT,2026-04-08,2026-04-12,0.75,2,quantile,1445.35575239084
ILI incidence,AT,2026-04-08,2026-04-12,0.8,2,quantile,1537.8100975258
ILI incidence,AT,2026-04-08,2026-04-12,0.85,2,quantile,1630.22058051427
ILI incidence,AT,2026-04-08,2026-04-12,0.9,2,quantile,1786.25794098308
ILI incidence,AT,2026-04-08,2026-04-12,0.95,2,quantile,2002.23977173473
ILI incidence,AT,2026-04-08,2026-04-12,0.975,2,quantile,2259.79064962153
