target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-04-19,1,quantile,0.01,43.360796753867916,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.01,30.391433265350898,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.01,42.888506908889035,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.01,25.61598481576039,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.025,44.009156499344854,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.025,33.9643762676809,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.025,43.03323319386941,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.025,30.599947827304934,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.05,45.1473759561505,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.05,38.018721030645736,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.05,47.846349720773716,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.05,31.118559113224695,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.1,47.78513192676703,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.1,40.66506791728051,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.1,49.196357049938996,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.1,35.24542432648207,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.15,52.74610279699603,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.15,42.59947738331388,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.15,53.02751694153464,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.15,36.121887185382676,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.2,61.28764879265326,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.2,43.39785630713279,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.2,53.86157035483419,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.2,36.93037838248069,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.25,63.917989914937216,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.25,45.11362805394981,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.25,54.210630644467805,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.25,40.55823160796284,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.3,64.54851471014064,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.3,46.63520760858728,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.3,54.509151945630066,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.3,40.84669159319346,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.35,65.22965639847165,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.35,46.87844041194415,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.35,54.777691727277606,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.35,41.187704328182264,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.4,65.5640402758282,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.4,47.69691505437254,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.4,55.06188803213358,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.4,41.640770554154166,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.45,66.17310964874842,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.45,48.62794194853238,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.45,56.00521744941227,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.45,42.12773225639681,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.5,66.69450214289522,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.5,49.02901680176774,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.5,57.414552551057184,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.5,42.58365956760013,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.55,67.89414307644796,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.55,49.36435036231982,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.55,58.44321978495631,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.55,43.17065549509758,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.6,68.497449129895,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.6,49.901279665861125,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.6,60.70603589660061,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.6,43.7657820673465,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.65,68.64959508215166,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.65,51.41256914275337,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.65,61.87945574309893,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.65,44.27861054366137,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.7,68.90181964077671,2026-04-22
