target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-04-19,1,quantile,0.01,22.956524067711314,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.01,39.12902757509721,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.01,37.07418376784847,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.01,14.07115489985587,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.025,45.35603308179835,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.025,39.159717429175814,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.025,39.453119186160215,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.025,15.704278783175583,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.05,47.34408217946449,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.05,40.67648706674217,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.05,49.848555119655245,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.05,21.998083939189865,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.1,58.37771097208801,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.1,45.578945192784495,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.1,51.82045159326239,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.1,33.20980432795024,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.15,65.98331686203389,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.15,49.37422933113374,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.15,54.428731247707695,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.15,36.81183014004323,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.2,69.07871393408752,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.2,51.8285132474526,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.2,58.48873940707108,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.2,38.57255344044577,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.25,75.2202973363856,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.25,64.92464241258261,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.25,60.619817447965005,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.25,39.13633598727394,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.3,78.97111309633449,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.3,70.14439413924994,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.3,62.16630637872361,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.3,39.78505134535554,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.35,82.08866311058073,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.35,72.31441237353381,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.35,63.96048514028095,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.35,40.60787200611193,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.4,83.37960104435886,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.4,73.97787625832882,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.4,66.42977749689945,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.4,47.84722600895727,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.45,84.3113487220424,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.45,74.91559149091036,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.45,69.14186653563613,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.45,49.98297147233262,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.5,86.66893247320316,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.5,75.75700452446699,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.5,71.05305669276535,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.5,51.65519862292341,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.55,90.25938662552653,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.55,77.26875890168769,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.55,73.13817496383535,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.55,54.10332235404981,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.6,92.6318090930414,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.6,80.7291359302121,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.6,74.27075749846666,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.6,56.32449653053314,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.65,93.85076965666615,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.65,82.11009818969775,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.65,76.29595545869864,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.65,58.29360935651651,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.7,95.16547128973396,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.7,83.31328832644432,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.7,80.60915418775764,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.7,60.27511332521651,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.75,99.00512740129483,2026-04-22
