target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,GR,2026-04-12,1,quantile,0.01,173.4051525970997,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.01,93.44130032743897,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.01,60.17753681597532,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.01,0.0,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.025,249.4887817582567,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.025,157.94220449852324,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.025,104.58721463776612,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.025,47.104461367649975,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.05,335.94767320412757,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.05,234.33861903304933,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.05,168.47690361360372,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.05,135.3717517879391,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.1,409.2942645136265,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.1,312.3073246135665,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.1,257.8509442858522,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.1,206.75380396595247,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.15,455.5227966934907,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.15,373.91145908034855,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.15,313.1187584737422,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.15,249.15781833982814,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.2,497.595804816984,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.2,421.09805660115956,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.2,359.44312470966975,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.2,292.68273211839045,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.25,526.8717264113213,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.25,455.380616748081,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.25,392.6888678197429,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.25,342.8445198890993,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.3,555.7020601687365,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.3,500.579072225743,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.3,424.0440314273469,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.3,373.5570856445675,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.35,583.7865469994155,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.35,528.2802499673327,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.35,455.7785985590052,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.35,403.2073903177058,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.4,620.3126218108497,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.4,559.2573073452875,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.4,481.6040991836525,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.4,435.8895307194206,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.45,646.5344910474258,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.45,589.7485531830816,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.45,514.8076890415473,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.45,465.89294229932295,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.5,661.8823155702428,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.5,610.9564155602386,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.5,548.8676850632203,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.5,499.7359146665962,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.55,688.6790043374333,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.55,639.5576223006572,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.55,579.4584219203576,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.55,527.0630584092415,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.6,714.9514158945553,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.6,669.7477796870594,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.6,604.8622258304301,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.6,556.8397433737953,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.65,745.5400033385831,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.65,706.0580947843273,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.65,637.3422892818315,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.65,583.5259453384609,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.7,778.2972552860023,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.7,729.9036604669432,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.7,659.5895519582529,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.7,613.7310760691006,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.75,820.5722388893245,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.75,763.576512940803,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.75,690.2783395783499,2026-04-15
