"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-04-08,1,2026-04-05,0.01,1995.62,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.025,2004.425,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.05,2017.7,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.1,2031.8,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.15,2043.85,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.2,2048.8,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.25,2055.75,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.3,2061.1,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.35,2066.3,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.4,2070.6,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.45,2076.1,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.5,2080.5,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.55,2086.45,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.6,2094.4,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.65,2098.7,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.7,2104.6,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.75,2111,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.8,2114,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.85,2118.45,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.9,2129.3,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.95,2156,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.975,2160.2,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.99,2166.39,"quantile","ILI incidence","AT"
2026-04-08,1,2026-04-05,0.01,88,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.025,94.475,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.05,96,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.1,99.9,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.15,101,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.2,103,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.25,105,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.3,107,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.35,107,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.4,109,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.45,110,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.5,111.5,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.55,113.45,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.6,115,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.65,116,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.7,117.3,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.75,119,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.8,120,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.85,121.15,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.9,123.2,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.95,130.05,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.975,132.575,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.99,134.04,"quantile","ILI incidence","BE"
2026-04-08,1,2026-04-05,0.01,0,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.025,0,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.05,0,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.1,0,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.15,1,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.2,1,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.25,1,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.3,1,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.35,1,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.4,2,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.45,2,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.5,2,"quantile","ILI incidence","HR"
2026-04-08,1,2026-04-05,0.55,2,"quantile","ILI incidence","HR"
