origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.01,0.0
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.01,0.0
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.01,0.0
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.01,6.709952681153823
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.025,0.0
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.025,0.0
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.025,2.289106381319641
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.025,11.474655170731154
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.05,0.0
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.05,0.0
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.05,9.519375165112764
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.05,19.2642196893888
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.1,5.909319370740562
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.1,11.481502792789058
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.1,23.515504005832423
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.1,34.3430157724073
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.15,15.094434364668963
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.15,23.034404289020586
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.15,36.99244340611547
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.15,48.86246063839332
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.2,23.99392518708908
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.2,34.22805193589266
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.2,50.05029827090628
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.2,62.93040278358063
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.25,32.66448207257806
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.25,45.13374987018538
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.25,62.77224783709946
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.25,76.63645575509707
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.3,41.15444760934524
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.3,55.8123026828075
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.3,75.22922318527274
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.3,90.05703749051322
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.35,49.50611511356552
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.35,66.31690627996599
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.35,87.48327954930211
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.35,103.25900349167166
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.4,57.75745164998609
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.4,76.69531507294643
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.4,99.59012443324632
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.4,116.30237050345632
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.45,65.94344664634576
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.45,86.99153824534022
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.45,111.60109637751545
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.45,129.24244834695077
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.5,74.09722133424262
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.5,97.24723519132368
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.5,123.56479279557732
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.5,142.13159367706896
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.55,82.25099602213947
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.55,107.50293213730714
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.55,135.52848921363923
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.55,155.02073900718716
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.6,90.43699101849916
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.6,117.79915530970094
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.6,147.5394611579083
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.6,167.9608168506816
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.65,98.68832755491972
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.65,128.17756410268137
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.65,159.64630604185254
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.65,181.00418386246628
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.7,107.03999505914
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.7,138.68216769983985
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.7,171.90036240588194
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.7,194.20614986362472
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.75,115.52996059590716
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.75,149.36072051246197
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.75,184.3573377540552
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.75,207.62673159904085
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.8,124.20051748139616
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.8,160.2664184467547
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.8,197.0792873202484
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.8,221.3327845705573
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.85,133.10000830381628
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.85,171.46006609362678
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.85,210.1371421850392
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.85,235.4007267157446
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.9,142.2851232977447
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.9,183.0129675898583
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.9,223.61408158532225
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.9,249.92017158173064
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.95,151.82408826995106
