origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.01,23.890398205534147
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.01,17.164202549034993
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.01,11.947483547647092
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.01,8.28982273194161
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.025,24.079813722432714
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.025,17.395239775132247
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.025,12.426660830004376
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.025,8.641453762286824
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.05,24.400561660407867
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.05,17.597061007330733
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.05,12.610515698481171
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.05,8.937645504602429
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.1,24.66490319763675
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.1,17.964222481659185
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.1,12.941934348214033
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.1,9.289844187834015
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.15,24.91637488541923
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.15,18.183268952901596
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.15,13.153699824032628
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.15,9.464076518480283
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.2,25.183343802510905
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.2,18.451861741060448
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.2,13.393109873326567
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.2,9.635552065605713
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.25,25.376491474611132
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.25,18.62888970875501
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.25,13.537844207704248
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.25,9.775190842275352
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.3,25.58740495162735
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.3,18.799849730774298
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.3,13.733770548487827
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.3,9.93542603109796
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.35,25.804139393822755
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.35,19.023846573901707
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.35,13.916489501643895
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.35,10.094229132924712
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.4,25.99867817025458
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.4,19.234230939652985
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.4,14.083359896950418
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.4,10.25635452258819
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.45,26.282685722485503
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.45,19.421112619107777
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.45,14.266158311283473
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.45,10.43148198419906
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.5,26.511050087371608
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.5,19.671271340994796
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.5,14.505853606057421
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.5,10.628457587552692
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.55,26.730644194907054
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.55,19.928609481694686
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.55,14.708183610953368
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.55,10.86403238258683
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.6,27.0236257452942
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.6,20.151354943558758
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.6,15.01310969721803
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.6,11.117734882083031
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.65,27.29944837601389
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.65,20.46211554559478
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.65,15.263854024462415
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.65,11.404382814933507
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.7,27.56622152230006
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.7,20.7820470330569
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.7,15.638520582895277
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.7,11.683108557648916
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.75,27.97491921484745
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.75,21.22378836553807
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.75,16.105318265152523
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.75,12.064701918800177
