origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.01,22.347002748216966
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.01,16.39736864097075
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.01,11.88428151818979
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.01,8.450023283646368
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.025,22.706341960913534
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.025,16.662440424335944
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.025,12.181375574017876
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.025,8.74498244021682
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.05,23.033326830537106
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.05,16.993313778506156
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.05,12.498207148914165
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.05,9.058936283483856
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.1,23.543036831347326
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.1,17.52191470601383
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.1,12.903707476657507
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.1,9.457036705398052
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.15,24.086809149727053
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.15,17.937360798112916
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.15,13.266062344520737
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.15,9.786586035533526
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.2,24.487171908150287
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.2,18.37069005858238
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.2,13.640503492375469
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.2,10.077055814377232
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.25,24.97703421237737
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.25,18.727396209871245
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.25,13.961603398895027
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.25,10.349590929545055
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.3,25.518993328716256
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.3,19.17356464930997
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.3,14.297795294885415
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.3,10.599787402715108
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.35,26.00925771583573
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.35,19.562928588777005
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.35,14.657967244529782
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.35,10.939370380159264
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.4,26.57173219270966
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.4,20.102957881592847
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.4,15.164511568650816
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.4,11.30346423055667
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.45,27.16207426522961
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.45,20.584239902896687
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.45,15.568946786710638
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.45,11.688190941461174
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.5,27.676511837123236
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.5,21.159967042693403
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.5,16.09263633643697
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.5,12.104882742121667
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.55,28.516695861638965
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.55,21.662778332988527
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.55,16.541809554917464
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.55,12.524259760277904
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.6,29.226749466141285
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.6,22.391378277748764
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.6,17.020154057990528
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.6,12.866131200291045
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.65,29.999440037944485
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.65,22.94871628923038
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.65,17.474099518442134
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.65,13.348272810575038
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.7,30.826921143396355
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.7,23.561529482580685
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.7,17.986247609988926
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.7,13.713824544568466
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.75,31.718956224380285
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.75,24.36111430105959
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.75,18.518839926385176
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.75,14.232052142823292
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.8,32.714357952049596
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.8,25.206603423642996
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.8,19.284600399450387
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.8,14.915360744360276
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.85,33.75401296721014
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.85,26.21137835245404
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.85,20.388309941417674
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.85,15.771593518029759
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.9,35.21514141705723
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.9,27.527215076959315
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.9,21.476212518050918
2026-04-22,ILI incidence,2026-05-10,4,BE,quantile,0.9,16.716392031453
2026-04-22,ILI incidence,2026-04-19,1,BE,quantile,0.95,37.337347743717515
2026-04-22,ILI incidence,2026-04-26,2,BE,quantile,0.95,28.989501890513825
2026-04-22,ILI incidence,2026-05-03,3,BE,quantile,0.95,22.92254809483015
