origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.01,869.4479891898608
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.025,997.6278190896356
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.05,1122.8679040273469
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.1,1286.8766431186157
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.15,1410.850013228727
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.2,1517.8370367451323
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.25,1616.0608371065107
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.3,1709.6707608214595
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.35,1801.2448884160608
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.4,1892.6684429371555
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.45,1985.5335338047553
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.5,2081.37149688689
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.55,2181.833049257317
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.6,2288.878709876591
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.65,2405.0387569515956
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.7,2533.836714555571
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.75,2680.5757029933748
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.8,2853.994279267495
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.85,3070.3397389361703
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.9,3365.99254095221
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.95,3857.3458389620755
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.975,4341.229375304162
2026-04-22,ILI incidence,2026-04-19,1,AT,quantile,0.99,4980.654395092325
2026-04-22,ILI incidence,2026-04-19,1,AT,median,,2081.37149688689
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.01,849.9120876324796
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.025,979.0413314014743
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.05,1105.6674018063059
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.1,1272.0946427445667
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.15,1398.302340506106
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.2,1507.4728243875386
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.25,1607.8947464464873
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.3,1703.7615715075137
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.35,1797.6882990968272
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.4,1891.596309078153
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.45,1987.1173087081158
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.5,2085.829600619856
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.55,2189.4430704106826
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.6,2299.996657942548
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.65,2420.1297667360855
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.7,2553.5260139646653
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.75,2705.7387668718907
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.8,2885.9315453471045
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.85,3111.163580351151
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.9,3419.686597686822
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.95,3934.1098396096354
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.975,4442.545024571274
2026-04-22,ILI incidence,2026-04-26,2,AT,quantile,0.99,5116.8703949780365
