origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.010,0.0
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.025,4.805000000000173
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.050,558.19
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.100,1004.4000000000001
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.150,1248.1999999999998
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.200,1427.9
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.250,1594.675
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.300,1713.4
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.350,1827.5599999999997
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.400,1939.52
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.450,2049.25
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.500,2161.1
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.550,2258.9700000000003
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.600,2367.9
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.650,2489.185000000001
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.700,2604.42
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.750,2726.175
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.800,2871.9400000000005
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.850,3046.66
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.900,3273.5100000000007
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.950,3710.374999999999
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.975,4261.019999999999
2026-04-15,ILI incidence,1,2026-04-12,AT,quantile,0.990,4888.0070000000005
2026-04-15,ILI incidence,1,2026-04-12,AT,median,,2161.1
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.010,0.0
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.025,0.0
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.050,129.99500000000003
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.100,677.7800000000002
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.150,1005.0399999999998
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.200,1239.0000000000002
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.250,1421.3750000000007
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.300,1581.8700000000001
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.350,1734.1650000000002
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.400,1866.6400000000008
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.450,2012.5200000000007
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.500,2146.7
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.550,2284.2900000000004
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.600,2423.8999999999996
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.650,2563.57
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.700,2723.7
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.750,2875.250000000001
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.800,3072.84
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.850,3293.945
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.900,3586.5
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.950,4108.294999999999
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.975,4682.405
2026-04-15,ILI incidence,2,2026-04-19,AT,quantile,0.990,5228.815
2026-04-15,ILI incidence,2,2026-04-19,AT,median,,2146.7
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.010,0.0
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.025,0.0
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.050,0.0
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.100,432.430000000001
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.150,809.1499999999997
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.200,1055.3800000000003
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.250,1282.8750000000005
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.300,1477.34
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.350,1671.9649999999997
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.400,1842.0200000000004
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.450,1991.565
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.500,2136.0
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.550,2303.2800000000007
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.600,2456.84
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.650,2632.97
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.700,2821.229999999999
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.750,3024.75
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.800,3253.100000000001
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.850,3513.53
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.900,3855.520000000001
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.950,4482.219999999999
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.975,5110.847499999999
2026-04-15,ILI incidence,3,2026-04-26,AT,quantile,0.990,5751.5070000000005
2026-04-15,ILI incidence,3,2026-04-26,AT,median,,2136.0
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.010,0.0
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.025,0.0
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.050,0.0
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.100,233.4900000000009
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.150,647.9100000000002
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.200,942.4999999999999
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.250,1198.7750000000003
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.300,1415.9499999999996
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.350,1611.92
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.400,1801.8000000000009
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.450,1983.7550000000003
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.500,2150.85
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.550,2336.5350000000003
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.600,2533.4999999999995
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.650,2727.2100000000005
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.700,2934.3699999999994
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.750,3140.2750000000005
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.800,3382.7999999999997
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.850,3699.06
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.900,4109.400000000001
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.950,4752.444999999999
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.975,5332.554999999998
2026-04-15,ILI incidence,4,2026-05-03,AT,quantile,0.990,6080.0970000000025
2026-04-15,ILI incidence,4,2026-05-03,AT,median,,2150.85
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.010,0.0
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.025,0.0
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.050,0.0
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.100,0.0
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.150,0.0
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.200,0.0
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.250,3.6750000000000007
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.300,18.499999999999993
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.350,30.400000000000002
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.400,41.46000000000004
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.450,52.199999999999996
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.500,62.0
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.550,71.8
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.600,82.79999999999998
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.650,93.8
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.700,108.0
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.750,122.72499999999998
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.800,141.5
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.850,170.41499999999996
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.900,215.41000000000005
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.950,308.49999999999994
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.975,373.7024999999999
2026-04-15,ILI incidence,1,2026-04-12,BE,quantile,0.990,466.0190000000004
2026-04-15,ILI incidence,1,2026-04-12,BE,median,,62.0
2026-04-15,ILI incidence,2,2026-04-19,BE,quantile,0.010,0.0
2026-04-15,ILI incidence,2,2026-04-19,BE,quantile,0.025,0.0
2026-04-15,ILI incidence,2,2026-04-19,BE,quantile,0.050,0.0
2026-04-15,ILI incidence,2,2026-04-19,BE,quantile,0.100,0.0
2026-04-15,ILI incidence,2,2026-04-19,BE,quantile,0.150,0.0
2026-04-15,ILI incidence,2,2026-04-19,BE,quantile,0.200,0.0
